,ថ្ងៃ ខែ ឆ្នាំ,សំណល់ចាស់,ចំណូលថ្មី,សរុប,ចំណាយ,សល់
Silicon រឹង​ (body),,,,,,
,11/08/24,1,0,1,0,1
,25/8/24,1,0,1,1,0
,15/09/24,0,1,1,0,1
,29/9/24,1,0,1,1,0
,02/11/24,0,1,1,0,1
,17/11/24,1,0,1,1,0
,21/12/24,0,1,1,1,0
,31/12/24,0,2,2,,2
,24/01/25,2,0,2,1,1
,01/02/25,1,1,2,0,2
,03/02/25,2,0,2,1,1
,24/3/25,1,4,5,1,4
,29/4/25,4,0,4,1,3
,10/6/25,3,0,3,1,2
,10/6/25,2,0,2,1,1
,29/6/25,1,3,4,,4
,30/07/25,4,0,4,1,3
,14/08/25,3,0,3,1,2
,30/08/25,2,1,3,0,3
,20/08/25,3,1,4,1,3
,9/10/25,3,1,4,1,3
,17/10/25,3,1,4,0,4
,07/11/25,4,0,4,1,3
,29/11/25,3,0,3,1,2
,23/12/25,2,1,3,1,2
,19/01/26,2,,2,1,1
,23/02/26,1,,1,1,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0